id;customer_id;age;gender;matched
1;Assistant;Market;program payment User-friendly;false
2;SQL;empower auxiliary experiences;Sahara;true
3;scale Rubber;Ball full-range;mobile Direct Villages;true
4;partnerships Uzbekistan intelligence;Ergonomic Generic bluetooth;copying;false
5;Tennessee Handmade violet;primary;Renminbi plum;true
6;multi-tasking Investment Electronics;redundant;invoice Tuna Pine;true
7;connect Omani;Rustic Re-engineered;hacking;false
8;architectures Georgia;override;deposit Horizontal;true
9;Kenya UIC-Franc;Shirt Rubber;Table;false
10;maroon;Shoes overriding Japan;invoice;true
